feature_0,feature_1,feature_2,feature_3,feature_4,label
0.48745793,0.98735166,0.911214,0.32868153,0.15341884,1.0
0.85297906,0.5397808,0.34814155,0.3962525,0.23458862,0.0
0.3153919,0.74765176,0.24859864,0.38298857,0.16855139,0.0
0.3034135,0.59196776,0.16858524,0.59552675,0.0054929852,1.0
0.869722,0.031261742,0.52556354,0.96451837,0.19570386,0.0
0.9318527,0.07995105,0.6210865,0.21004802,0.10421008,0.0
0.38445956,0.59638846,0.13053566,0.90168875,0.2888077,1.0
0.11763239,0.9962748,0.11437255,0.9926493,0.025168419,1.0
0.5531035,0.96408397,0.8646357,0.4608922,0.15571111,0.0
0.8235545,0.4815874,0.9276315,0.107266665,0.89112943,0.0
0.06272161,0.3165102,0.88648176,0.86566293,0.1154089,1.0
0.13427377,0.29245025,0.8012033,0.35085714,0.30895233,1.0
0.29890907,0.90512353,0.5202295,0.73691654,0.07233435,1.0
0.8952081,0.25554562,0.31280166,0.3495958,0.59719753,1.0
0.7391852,0.46599478,0.22888732,0.6608475,0.8004244,1.0
0.20582664,0.8861941,0.19476068,0.42118788,0.44152987,0.0
0.9170789,0.9217525,0.056175172,0.3338576,0.18032706,0.0
0.19584358,0.124803185,0.03428185,0.26772487,0.2041586,0.0
0.91171217,0.32274508,0.1395495,0.058074832,0.90551543,0.0
0.468903,0.48537165,0.80606484,0.21479172,0.48881906,0.0
0.20165938,0.5752897,0.8214392,0.5782184,0.5929795,1.0
0.70981705,0.8905829,0.67362833,0.2615354,0.8269953,1.0
0.95958185,0.32163298,0.14414567,0.28222305,0.21547294,1.0
0.6496323,0.26281488,0.20930237,0.073343694,0.2115184,0.0
0.9201939,0.9656542,0.16258669,0.5786539,0.83106714,0.0
0.018357158,0.92076737,0.72419757,0.91562736,0.45934528,0.0
0.60970587,0.21413577,0.079927206,0.7784169,0.3428235,1.0
0.18400657,0.6866176,0.58677244,0.37666857,0.07681519,0.0
0.8788944,0.43659163,0.67611176,0.5968919,0.9778854,1.0
0.72924584,0.37089956,0.0093384385,0.8145745,0.100740075,1.0
0.46392506,0.57686234,0.54920316,0.036078334,0.74623805,0.0
0.536381,0.52377546,0.15386313,0.05051142,0.07268292,0.0
0.264229,0.1139617,0.9717254,0.58598655,0.031114519,1.0
0.5367653,0.06763977,0.7087284,0.031945765,0.9271335,0.0
0.13045442,0.98719007,0.46761292,0.3456385,0.027641416,0.0
0.83502644,0.969507,0.79620075,0.43191016,0.8092005,0.0
0.4573301,0.087293446,0.10381496,0.6077846,0.55800945,0.0
0.68307227,0.055426538,0.14511675,0.6907619,0.7670052,1.0
0.015864968,0.06269586,0.4811672,0.603581,0.5055281,1.0
0.75778717,0.81918514,0.5781476,0.27427387,0.21544528,1.0
0.19022137,0.08431113,0.6310884,0.7761009,0.6139269,1.0
0.39998162,0.17169619,0.35075498,0.25201792,0.8105166,0.0
0.22377461,0.86558896,0.18843663,0.4654047,0.88773966,1.0
0.5775787,0.49616444,0.7155153,0.5932575,0.64885086,1.0
0.54418105,0.7752971,0.0040213466,0.95359576,0.87444496,1.0
0.8625664,0.2991383,0.17631829,0.6088904,0.26382548,0.0
0.9276975,0.8403258,0.330495,0.20144373,0.6553355,0.0
0.6924686,0.6621484,0.65138763,0.9305983,0.77691674,1.0
0.74102163,0.46246976,0.40892392,0.836649,0.8951676,0.0
0.013517082,0.009990692,0.07887268,0.14745373,0.24001956,1.0
0.85797846,0.023308754,0.75524205,0.8109816,0.72878015,0.0
0.8159074,0.74040264,0.96299154,0.65764207,0.67181474,1.0
0.6057896,0.8224192,0.29972816,0.054941356,0.5299085,1.0
0.7760032,0.6707004,0.36881304,0.024895012,0.95347303,0.0
0.91677463,0.19036072,0.00792253,0.1948238,0.5676736,0.0
0.0018370748,0.21695799,0.35239518,0.35905498,0.94193244,0.0
0.94719696,0.76768816,0.99750733,0.6392452,0.4146412,1.0
0.63638914,0.8177746,0.4170745,0.7516334,0.10599053,0.0
0.69033927,0.012782991,0.419016,0.48011935,0.66634667,0.0
0.75146073,0.006326318,0.5834453,0.56388396,0.046337605,0.0
0.30193168,0.8561273,0.91486907,0.013165712,0.49617535,1.0
0.85846263,0.682126,0.5201405,0.52960205,0.28672415,0.0
0.4318779,0.6757899,0.0224877,0.14957952,0.8203058,0.0
0.47191364,0.8415755,0.85113174,0.03964919,0.085041046,0.0
0.49987328,0.4185595,0.6947924,0.19910228,0.4898035,0.0
0.86959964,0.8278825,0.22530043,0.5583015,0.3580966,1.0
0.33961362,0.30014944,0.18872648,0.19094175,0.4409796,1.0
0.35362113,0.5760516,0.40034992,0.27022105,0.8603109,1.0
0.98643196,0.33292586,0.7199311,0.32496035,0.97756505,1.0
0.35723573,0.69246966,0.6686049,0.68368745,0.70161945,0.0
0.6279984,0.49358684,0.15206242,0.27905577,0.5786961,0.0
0.95517063,0.5764435,0.49105716,0.6296358,0.05706811,1.0
0.731617,0.8642148,0.15245312,0.7945852,0.14683354,0.0
0.8563764,0.87662965,0.19834673,0.7263384,0.8538629,1.0
0.41681552,0.5086804,0.77860445,0.7459273,0.23931551,0.0
0.7873937,0.9547013,0.67400885,0.13812709,0.23541993,1.0
0.2801084,0.025584519,0.24717075,0.8704523,0.108575284,0.0
0.1661498,0.7340673,0.1255005,0.5410216,0.23329592,0.0
0.026407957,0.15864092,0.4354694,0.36778414,0.9223333,0.0
0.9738548,0.35031438,0.299798,0.45047498,0.36242688,0.0
0.9830241,0.2526484,0.9100882,0.050800562,0.9961725,1.0
0.9242296,0.8417404,0.09758049,0.21968603,0.8665333,1.0
0.092562854,0.41343653,0.6404957,0.15789586,0.08937544,0.0
0.86880153,0.8668142,0.3562668,0.75423515,0.71499413,0.0
0.1246236,0.76568764,0.76286066,0.64393115,0.9287696,0.0
0.19703698,0.7442286,0.96711236,0.59707254,0.38285816,0.0
0.4451604,0.8311003,0.5311133,0.7275682,0.20717138,1.0
0.89539033,0.79985934,0.34340018,0.40415597,0.1312626,1.0
0.6085566,0.10153353,0.26285934,0.9835735,0.29885238,0.0
0.120978594,0.07114613,0.96747863,0.69833034,0.7878778,1.0
0.085359395,0.75708884,0.98834026,0.49848402,0.92798656,1.0
